104.8303 	EXP 	text: text = 'راست'
104.8303 	EXP 	image: autoDraw = True
104.8303 	EXP 	text: autoDraw = True
105.4118 	DATA 	Keypress: right
105.4196 	EXP 	image: autoDraw = False
105.4196 	EXP 	text: autoDraw = False
105.4196 	EXP 	feedback_text_component: foreColor = 'green'
105.4196 	EXP 	feedback_text_component: height = 0.05
105.4196 	EXP 	feedback_text_component: height = 0.05
105.4196 	EXP 	feedback_text_component: height = 0.05
105.4196 	EXP 	feedback_text_component: text = 'درست'
105.4196 	EXP 	feedback_text_component: autoDraw = True
106.4208 	EXP 	feedback_text_component: autoDraw = False
106.4208 	EXP 	plus_image: autoDraw = True
107.4087 	EXP 	New trial (rep=2, index=2): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
107.4103 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
107.4534 	EXP 	plus_image: autoDraw = False
107.4534 	EXP 	image: image = 'images/square'
107.4534 	EXP 	text: height = 0.05
107.4534 	EXP 	text: height = 0.05
107.4534 	EXP 	text: height = 0.05
