81.6922 	EXP 	feedback_text_component: height = 0.05
81.6922 	EXP 	feedback_text_component: text = 'نادرست'
81.6922 	EXP 	feedback_text_component: autoDraw = True
82.7024 	EXP 	feedback_text_component: autoDraw = False
82.7024 	EXP 	plus_image: autoDraw = True
83.6882 	EXP 	New trial (rep=1, index=3): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
83.6893 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
83.7306 	EXP 	plus_image: autoDraw = False
83.7306 	EXP 	image: image = 'images/square'
83.7306 	EXP 	text: height = 0.05
83.7306 	EXP 	text: height = 0.05
83.7306 	EXP 	text: height = 0.05
83.7306 	EXP 	text: text = 'چپ'
83.7306 	EXP 	image: autoDraw = True
83.7306 	EXP 	text: autoDraw = True
84.4742 	DATA 	Keypress: left
84.4810 	EXP 	image: autoDraw = False
84.4810 	EXP 	text: autoDraw = False
84.4810 	EXP 	feedback_text_component: foreColor = 'green'
84.4810 	EXP 	feedback_text_component: height = 0.05
84.4810 	EXP 	feedback_text_component: height = 0.05
84.4810 	EXP 	feedback_text_component: height = 0.05
84.4810 	EXP 	feedback_text_component: text = 'درست'
84.4810 	EXP 	feedback_text_component: autoDraw = True
85.4823 	EXP 	feedback_text_component: autoDraw = False
85.4823 	EXP 	plus_image: autoDraw = True
86.4846 	EXP 	New trial (rep=1, index=4): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
86.4859 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
86.5270 	EXP 	plus_image: autoDraw = False
86.5270 	EXP 	image: image = 'images/square'
86.5270 	EXP 	text: height = 0.05
86.5270 	EXP 	text: height = 0.05
86.5270 	EXP 	text: height = 0.05
86.5270 	EXP 	text: text = 'چپ'
86.5270 	EXP 	image: autoDraw = True
86.5270 	EXP 	text: autoDraw = True
87.2950 	DATA 	Keypress: left
87.3024 	EXP 	image: autoDraw = False
87.3024 	EXP 	text: autoDraw = False
87.3024 	EXP 	feedback_text_component: foreColor = 'green'
87.3024 	EXP 	feedback_text_component: height = 0.05
87.3024 	EXP 	feedback_text_component: height = 0.05
87.3024 	EXP 	feedback_text_component: height = 0.05
87.3024 	EXP 	feedback_text_component: text = 'درست'
87.3024 	EXP 	feedback_text_component: autoDraw = True
88.2936 	EXP 	feedback_text_component: autoDraw = False
88.2936 	EXP 	plus_image: autoDraw = True
89.2945 	EXP 	New trial (rep=1, index=5): OrderedDict([('cue_image', 'images/square'), ('image_text', 'No'), ('stop_voice_flag', 1), ('corr_resp', 'None')])
89.2955 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
89.3375 	EXP 	plus_image: autoDraw = False
89.3375 	EXP 	image: image = 'images/square'
89.3375 	EXP 	text: height = 0.05
89.3375 	EXP 	text: height = 0.05
89.3375 	EXP 	text: height = 0.05
